service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
WK_merged_110218717,20160424,20160813,1,1,1,1,1,0,0
FR_merged_110218721,20160814,20161022,0,0,0,0,1,0,0
FR_merged_110218716,20160424,20160813,0,0,0,0,1,0,0
SU_1893,20160725,20160813,0,0,0,0,0,0,1
MT_merged_110218724,20160814,20161022,1,1,1,1,0,0,0
MT_1893,20160725,20160813,1,1,1,1,0,0,0
SA_1893,20160725,20160813,0,0,0,0,0,1,0
SU_merged_110218718,20160424,20160813,0,0,0,0,0,0,1
SA_merged_110218720,20160424,20160813,0,0,0,0,0,1,0
SA_merged_110218725,20160814,20161022,0,0,0,0,0,1,0
SU_merged_110218723,20160814,20161022,0,0,0,0,0,0,1
FR_1893,20160725,20160813,0,0,0,0,1,0,0
MT_merged_110218719,20160424,20160813,1,1,1,1,0,0,0
WK_1893,20160725,20160813,1,1,1,1,1,0,0
WK_merged_110218722,20160814,20161022,1,1,1,1,1,0,0
