route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_desc,route_url,route_short_name
Flatiron Flyer,3,FFFFFF,RTD,FF6,005798,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,FF6
Boulder / Lafayette via Baseline,3,FFFFFF,RTD,225E,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,225E
Boulder / Lafayette via Baseline,3,FFFFFF,RTD,225D,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,225D
Flatiron Flyer,3,FFFFFF,RTD,FF3,005798,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,FF3
Flatiron Flyer,3,FFFFFF,RTD,FF2,005798,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,FF2
Pearl / Eisenhower / Fairview H.S.,3,FFFFFF,RTD,206F,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,206F
Hampden/Tower,3,FFFFFF,RTD,133,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,133
Wagon Road / Denver Airport,3,FFFFFF,RTD,AA_merged_110218705,57C1E9,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,AA
East Iliff / Seven Hills,3,FFFFFF,RTD,131,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,131
Yale / Buckley,3,FFFFFF,RTD,130,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,130
Smoky Hill Road,3,FFFFFF,RTD,135,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,135
Quincy Avenue,3,FFFFFF,RTD,139,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,139
Boulder / Lafayette via Louisville,3,FFFFFF,RTD,DASH_merged_110218715,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,DASH
University Blvd,3,FFFFFF,RTD,24,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,24
Yale Avenue,3,FFFFFF,RTD,27,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,27
20th Avenue,3,FFFFFF,RTD,20,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,20
Evans Avenue,3,FFFFFF,RTD,21,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,21
Brighton / Denver,3,FFFFFF,RTD,RX,64A70B,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,RX
Riverbend,3,FFFFFF,RTD,29,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,29
Union Station to Jefferson County Government Center-Golden Station,0,FFFFFF,RTD,103W,009DAA,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,W
South Broadway Limited,3,FFFFFF,RTD,0L,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,0L
South Broadway,3,FFFFFF,RTD,0,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,0
Wildcat Crosstown,3,FFFFFF,RTD,403,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,403
Morrison Road,3,FFFFFF,RTD,4,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,4
Highlands Ranch/Mineral,3,FFFFFF,RTD,401,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,401
Brighton / Denver,3,FFFFFF,RTD,RC,64A70B,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,RC
North Broadway / Huron,3,FFFFFF,RTD,8,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,8
Flatiron Flyer,3,FFFFFF,RTD,FF5,005798,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,FF5
Flatiron Flyer,3,FFFFFF,RTD,FF4,005798,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,FF4
Golden / Boulder,3,FFFFFF,RTD,GS,64A70B,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,GS
Broadway,3,FFFFFF,RTD,SKIP_merged_110218706,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,SKIP
28th Avenue,3,FFFFFF,RTD,28B,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,28B
Longmont / Denver,3,FFFFFF,RTD,L,64A70B,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,L
120th Avenue / Brighton,3,FFFFFF,RTD,120,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,120
Peoria Street,3,FFFFFF,RTD,121,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,121
Boulder / Longmont,3,FFFFFF,RTD,BOLT,64A70B,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,BOLT
Broomfield / Wagon Road,3,FFFFFF,RTD,128,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,128
72nd Avenue,3,FFFFFF,RTD,72W_merged_110218696,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,72W
CU / Thunderbird,3,FFFFFF,RTD,209G,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,209G
West Bowles,3,FFFFFF,RTD,59,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,59
Highlands Ranch Parkway,3,FFFFFF,RTD,402L,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,402L
Sheridan Blvd,3,FFFFFF,RTD,51,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,51
Lakes Crosstown,3,FFFFFF,RTD,50,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,50
W 52nd Avenue / South Bannock,3,FFFFFF,RTD,52,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,52
Cherry Creek / Parker Rd Limited,3,FFFFFF,RTD,83L,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,83L
Brighton / DIA Express,3,FFFFFF,RTD,145X_merged_110218697,64A70B,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,145X
Union Station to Denver Airport Station,2,FFFFFF,RTD,A_merged_110218713,FFFBF0,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,A
South Kipling Limited,3,FFFFFF,RTD,100L,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,100L
Wagon Road / DIA,3,FFFFFF,RTD,AA_merged_110218694,57C1E9,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,AA
Northglenn/Comm City/Central Park,3,FFFFFF,RTD,88,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,88
Stapleton / Anschutz Campus,3,FFFFFF,RTD,89,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,89
East Alameda Limited,3,FFFFFF,RTD,3L,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,3L
80th Avenue,3,FFFFFF,RTD,80,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,80
US36 & Sheridan Limited,3,FFFFFF,RTD,90L,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,90L
Chatfield Avenue,3,FFFFFF,RTD,85,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,85
72nd Avenue,3,FFFFFF,RTD,72_merged_110218714,008FBF,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,72
Alameda Avenue,3,FFFFFF,RTD,3,0076CE,This Route Travels Eastbound & Westbound,http://www.rtd-denver.com/Schedules.shtml,3
South Federal Limited,3,FFFFFF,RTD,30L,0076CE,This Route Travels Northbound & Southbound,http://www.rtd-denver.com/Schedules.shtml,30L
