block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110218725,110153387
b_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110218725,110153386
b_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110218725,110153385
b_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110218725,110153384
b_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110218725,110153383
b_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110218725,110153382
b_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110218725,110153381
b_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110218725,110153380
b_12  2,12,1,Englewood Stn,924914,WK_merged_110218722,110142147
b_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110218725,110153389
b_12 51,12,1,Englewood Stn,924914,WK_merged_110218722,110142146
b_31 26,30L,1,Wadsworth/Hampden PnR,925217,WK_merged_110218722,110148169
a_12 26,12,0,Wagon Rd PnR,902218,WK_merged_110218717,109878439
a_12 52,12,0,Wagon Rd PnR,902218,WK_merged_110218717,109878438
a_12 52,12,0,Wagon Rd PnR,902218,WK_merged_110218717,109878437
a_12 51,12,0,Wagon Rd PnR,902218,WK_merged_110218717,109878436
a_12 18,12,0,Wagon Rd PnR,902218,WK_merged_110218717,109878435
a_12  6,12,0,Wagon Rd PnR,902218,WK_merged_110218717,109878434
a_12  2,12,0,Wagon Rd PnR,902218,WK_merged_110218717,109878433
a_12  2,12,0,Wagon Rd PnR,902218,WK_merged_110218717,109878432
a_12 16,12,0,Wagon Rd PnR,902218,WK_merged_110218717,109878431
a_12 18,12,0,Wagon Rd PnR,902218,WK_merged_110218717,109878430
b_31 55,30L,1,Wadsworth/Hampden PnR,925217,WK_merged_110218722,110148167
b_31 61,30L,1,Wadsworth/Hampden PnR,925217,WK_merged_110218722,110148166
b_31 53,30L,1,Wadsworth/Hampden PnR,925217,WK_merged_110218722,110148165
b_12 14,12,1,Englewood Stn,924914,WK_merged_110218722,110142148
b_31 43,30L,0,Downtown,925216,WK_merged_110218722,110148163
b_31 30,30L,0,Downtown,925216,WK_merged_110218722,110148162
b_31 32,30L,0,Downtown,925216,WK_merged_110218722,110148161
b_31 42,30L,0,Downtown,925216,WK_merged_110218722,110148160
b_51  8,51,0,Broomfield City Hall,927345,WK_merged_110218722,110164507
b_51  9,51,0,US36 & Sheridan,927344,WK_merged_110218722,110164506
b_51  2,51,0,US36 & Sheridan,927344,WK_merged_110218722,110164505
b_51  6,51,0,Broomfield City Hall,927345,WK_merged_110218722,110164504
b_51 11,51,0,Broomfield City Hall,927345,WK_merged_110218722,110164503
b_51  4,51,0,Broomfield City Hall,927343,WK_merged_110218722,110164502
b_51  8,51,0,Broomfield City Hall,927345,WK_merged_110218722,110164501
b_51  5,51,0,Broomfield City Hall,927345,WK_merged_110218722,110164500
b_STMP  6,STMP_merged_110218712,1,Euclid/18th,927026,WK_merged_110218722,110163739
b_209  1,STMP_merged_110218712,1,Euclid/18th,927026,WK_merged_110218722,110163738
b_51  1,51,0,Broomfield City Hall,927345,WK_merged_110218722,110164509
b_51 11,51,0,US36 & Sheridan,927344,WK_merged_110218722,110164508
b_65  1,65,0,Central Park 65 via Monaco,925403,SU_merged_110218723,110152476
b_65  3,65,0,Central Park 65 via Monaco,925403,SU_merged_110218723,110152477
b_65  2,65,1,Southmoor via Monaco,925408,SA_merged_110218725,110152474
b_65  3,65,1,Southmoor via Monaco,925408,SA_merged_110218725,110152475
b_65  1,65,1,Southmoor via Monaco,925408,SA_merged_110218725,110152472
b_65  2,65,1,Southmoor via Monaco,925408,SA_merged_110218725,110152473
b_65  3,65,1,Southmoor via Monaco,925408,SA_merged_110218725,110152470
b_65  1,65,1,Southmoor via Monaco,925408,SA_merged_110218725,110152471
b_65  1,65,0,Central Park 65 via Monaco,925403,SU_merged_110218723,110152478
b_65  1,65,0,Central Park 65 via Monaco,925403,SU_merged_110218723,110152479
a_MALL  5,MALL,0,Free Mall Ride,903287,SA_merged_110218720,109892879
a_MALL  2,MALL,0,Free Mall Ride,903287,SA_merged_110218720,109892878
a_MALL  1,MALL,0,Free Mall Ride,903287,SA_merged_110218720,109892873
a_MALL  8,MALL,0,Free Mall Ride,903288,SA_merged_110218720,109892872
a_MALL  9,MALL,0,Free Mall Ride,903287,SA_merged_110218720,109892871
a_MALL  7,MALL,0,Free Mall Ride,903287,SA_merged_110218720,109892870
a_MALL  4,MALL,0,Free Mall Ride,903287,SA_merged_110218720,109892877
a_MALL  9,MALL,0,Free Mall Ride,903287,SA_merged_110218720,109892876
a_MALL  2,MALL,0,Free Mall Ride,903287,SA_merged_110218720,109892875
a_MALL  5,MALL,0,Free Mall Ride,903287,SA_merged_110218720,109892874
a_HOP  3,HOP,0,Clockwise,917025,SU_merged_110218718,110044840
a_101 61,101E,0,E-Line Union Station,902096,FR_merged_110218716,109874811
b_15 13,15,0,Tower Rd,924973,WK_merged_110218722,110144044
b_15  2,15,0,Billings via E Colfax Ave,924977,WK_merged_110218722,110144045
b_15 12,15,0,Krameria via E Colfax Ave,924965,WK_merged_110218722,110144046
b_15 10,15,0,Billings via E Colfax Ave,924977,WK_merged_110218722,110144047
b_40  4,40,0,Commerce City via Colorado Blvd,925285,SU_merged_110218723,110149779
b_15 11,15,0,Billings via E Colfax Ave,924977,WK_merged_110218722,110144040
b_15 12,15,0,Krameria via E Colfax Ave,924965,WK_merged_110218722,110144041
b_15 41,15,0,Tower Rd,924969,WK_merged_110218722,110144042
b_15  4,15,0,Krameria via E Colfax Ave,924965,WK_merged_110218722,110144043
